frame,x_head,y_head,x_foot,y_foot,x_ball,y_ball,label
0,932.0,34.0,899.0,875.0,886.0,876.0,kick
1,933.0,33.0,898.0,886.0,893.0,876.0,kick
2,934.0,33.0,897.0,888.0,901.0,860.0,kick
3,936.0,33.0,900.0,867.0,908.0,805.0,stand
4,938.0,33.0,887.0,901.0,889.0,910.0,kick
5,938.0,33.0,873.0,928.0,924.0,707.0,stand
6,938.0,33.0,875.0,945.0,932.0,678.0,stand
7,936.0,34.0,868.0,946.0,940.0,657.0,stand
8,936.0,41.0,871.0,947.0,946.0,657.0,stand
9,936.0,52.0,873.0,949.0,955.0,657.0,stand
10,938.0,56.0,874.0,954.0,962.0,672.0,stand
11,938.0,61.0,875.0,956.0,971.0,704.0,stand
12,939.0,61.0,875.0,915.0,982.0,745.0,stand
13,940.0,63.0,874.0,919.0,972.0,732.0,stand
14,944.0,61.0,879.0,947.0,981.0,683.0,stand
15,949.0,61.0,881.0,955.0,980.0,641.0,stand
16,951.0,60.0,884.0,958.0,977.0,612.0,stand
18,955.0,73.0,892.0,963.0,972.0,588.0,stand
21,954.0,90.0,903.0,957.0,966.0,633.0,stand
22,951.0,97.0,937.0,831.0,965.0,676.0,stand
23,950.0,96.0,959.0,808.0,962.0,750.0,stand
24,949.0,93.0,952.0,776.0,966.0,821.0,kick
25,946.0,90.0,954.0,741.0,967.0,697.0,kick
26,947.0,75.0,948.0,753.0,981.0,654.0,stand
27,947.0,70.0,947.0,931.0,983.0,629.0,stand
28,947.0,71.0,916.0,981.0,916.0,948.0,kick
29,947.0,81.0,908.0,995.0,997.0,609.0,stand
30,947.0,104.0,904.0,1002.0,1003.0,617.0,stand
34,958.0,137.0,913.0,1006.0,1029.0,770.0,stand
35,972.0,138.0,911.0,1001.0,1035.0,813.0,stand
36,981.0,135.0,910.0,1009.0,1034.0,772.0,stand
37,989.0,135.0,912.0,1012.0,1033.0,730.0,stand
38,987.0,136.0,911.0,1025.0,1038.0,704.0,stand
39,991.0,136.0,911.0,1031.0,1041.0,690.0,stand
40,992.0,141.0,917.0,1038.0,1043.0,688.0,stand
41,994.0,146.0,927.0,1042.0,1047.0,697.0,stand
