frame,x_head,y_head,x_foot,y_foot,x_ball,y_ball,label
0,597.0,152.0,543.0,537.0,546.0,548.0,kick
1,597.0,151.0,543.0,537.0,546.0,511.0,kick
2,595.0,149.0,544.0,530.0,547.0,478.0,stand
3,592.0,147.0,551.0,601.0,547.0,455.0,stand
4,589.0,146.0,550.0,632.0,550.0,439.0,stand
5,587.0,143.0,556.0,650.0,549.0,429.0,stand
6,585.0,141.0,563.0,644.0,551.0,423.0,stand
7,583.0,142.0,565.0,645.0,553.0,424.0,stand
8,580.0,145.0,564.0,645.0,554.0,429.0,stand
9,577.0,147.0,566.0,645.0,554.0,442.0,stand
10,573.0,152.0,565.0,642.0,555.0,459.0,stand
14,570.0,163.0,540.0,587.0,567.0,531.0,stand
15,570.0,163.0,549.0,541.0,566.0,505.0,kick
18,575.0,161.0,560.0,644.0,574.0,466.0,stand
22,586.0,161.0,574.0,642.0,586.0,489.0,stand
24,591.0,166.0,590.0,579.0,590.0,539.0,kick
25,593.0,168.0,589.0,571.0,589.0,565.0,kick
26,593.0,169.0,590.0,579.0,591.0,535.0,kick
28,594.0,168.0,588.0,634.0,589.0,506.0,stand
29,595.0,168.0,587.0,642.0,591.0,499.0,stand
30,595.0,168.0,587.0,639.0,586.0,496.0,stand
31,594.0,168.0,586.0,640.0,584.0,500.0,stand
32,594.0,168.0,585.0,637.0,583.0,509.0,stand
33,592.0,168.0,585.0,636.0,581.0,523.0,stand
34,590.0,166.0,572.0,595.0,581.0,543.0,stand
35,585.0,160.0,565.0,595.0,580.0,564.0,kick
37,576.0,150.0,572.0,598.0,578.0,472.0,stand
38,575.0,148.0,589.0,600.0,578.0,428.0,stand
40,583.0,153.0,656.0,540.0,578.0,364.0,stand
41,586.0,158.0,694.0,470.0,579.0,337.0,stand
42,587.0,163.0,728.0,380.0,578.0,318.0,stand
43,584.0,162.0,736.0,300.0,576.0,304.0,stand
44,578.0,161.0,695.0,241.0,577.0,295.0,stand
45,566.0,155.0,679.0,196.0,577.0,292.0,stand
46,567.0,151.0,673.0,210.0,577.0,296.0,stand
47,567.0,148.0,554.0,199.0,577.0,303.0,stand
48,568.0,147.0,482.0,358.0,578.0,315.0,stand
49,569.0,144.0,471.0,479.0,577.0,333.0,stand
50,570.0,141.0,485.0,558.0,575.0,361.0,stand
51,575.0,142.0,506.0,608.0,576.0,394.0,stand
54,584.0,157.0,514.0,629.0,581.0,513.0,stand
55,583.0,157.0,517.0,624.0,584.0,559.0,stand
56,583.0,156.0,516.0,624.0,568.0,550.0,stand
62,604.0,162.0,480.0,612.0,492.0,265.0,stand
63,608.0,163.0,433.0,570.0,475.0,246.0,stand
65,608.0,159.0,340.0,473.0,450.0,208.0,stand
66,607.0,151.0,303.0,412.0,437.0,197.0,stand
67,607.0,139.0,282.0,358.0,424.0,192.0,stand
68,604.0,122.0,273.0,301.0,411.0,193.0,stand
69,595.0,115.0,271.0,252.0,413.0,197.0,stand
70,575.0,110.0,267.0,223.0,384.0,210.0,stand
71,556.0,109.0,285.0,155.0,371.0,228.0,stand
72,541.0,111.0,296.0,123.0,359.0,250.0,stand
73,527.0,117.0,303.0,122.0,346.0,279.0,stand
74,520.0,118.0,345.0,224.0,333.0,311.0,stand
75,514.0,129.0,368.0,274.0,320.0,351.0,stand
76,513.0,137.0,370.0,360.0,310.0,395.0,stand
77,507.0,144.0,374.0,490.0,298.0,442.0,stand
78,500.0,145.0,323.0,544.0,288.0,497.0,stand
80,484.0,143.0,297.0,587.0,269.0,487.0,stand
81,476.0,141.0,332.0,615.0,265.0,449.0,stand
82,466.0,136.0,375.0,628.0,259.0,418.0,stand
83,456.0,133.0,392.0,636.0,254.0,390.0,stand
84,441.0,130.0,392.0,637.0,250.0,370.0,stand
85,434.0,130.0,394.0,639.0,244.0,352.0,stand
86,423.0,135.0,394.0,640.0,239.0,341.0,stand
87,413.0,140.0,390.0,638.0,235.0,335.0,stand
88,401.0,144.0,391.0,638.0,231.0,335.0,stand
89,388.0,145.0,390.0,637.0,228.0,341.0,stand
91,365.0,147.0,388.0,632.0,217.0,369.0,stand
92,360.0,149.0,367.0,629.0,213.0,390.0,stand
93,363.0,150.0,349.0,628.0,209.0,417.0,stand
94,364.0,150.0,337.0,629.0,206.0,447.0,stand
96,358.0,147.0,340.0,628.0,199.0,529.0,stand
97,351.0,142.0,341.0,629.0,188.0,538.0,stand
98,343.0,136.0,337.0,630.0,184.0,490.0,stand
99,337.0,131.0,334.0,629.0,175.0,451.0,stand
100,333.0,130.0,337.0,629.0,170.0,418.0,stand
101,329.0,131.0,326.0,633.0,162.0,390.0,stand
102,325.0,132.0,317.0,629.0,155.0,366.0,stand
103,319.0,133.0,267.0,577.0,151.0,347.0,stand
104,314.0,137.0,210.0,524.0,145.0,335.0,stand
105,307.0,141.0,129.0,447.0,139.0,327.0,stand
106,297.0,141.0,121.0,337.0,134.0,325.0,kick
107,287.0,142.0,154.0,267.0,129.0,328.0,stand
108,272.0,140.0,127.0,209.0,124.0,339.0,stand
109,261.0,139.0,72.0,223.0,116.0,351.0,stand
110,251.0,138.0,80.0,254.0,111.0,373.0,stand
111,246.0,138.0,220.0,511.0,105.0,402.0,stand
112,244.0,139.0,170.0,470.0,103.0,428.0,stand
113,241.0,143.0,152.0,528.0,99.0,463.0,stand
114,237.0,145.0,117.0,576.0,92.0,502.0,stand
115,230.0,145.0,85.0,567.0,90.0,551.0,kick
116,219.0,142.0,87.0,573.0,88.0,513.0,stand
117,209.0,141.0,111.0,596.0,87.0,479.0,stand
118,199.0,141.0,136.0,634.0,86.0,448.0,stand
119,195.0,142.0,173.0,647.0,86.0,424.0,stand
120,190.0,150.0,172.0,649.0,87.0,406.0,stand
124,155.0,159.0,14.0,376.0,91.0,384.0,stand
125,147.0,158.0,150.0,605.0,92.0,388.0,stand
126,140.0,157.0,181.0,616.0,94.0,402.0,stand
127,141.0,157.0,199.0,625.0,95.0,421.0,stand
128,145.0,152.0,200.0,635.0,97.0,443.0,stand
130,153.0,149.0,192.0,633.0,96.0,507.0,stand
131,150.0,145.0,187.0,637.0,103.0,548.0,stand
134,144.0,146.0,197.0,632.0,100.0,433.0,stand
135,144.0,149.0,195.0,633.0,100.0,382.0,stand
137,163.0,155.0,194.0,616.0,102.0,297.0,stand
140,185.0,159.0,213.0,569.0,102.0,212.0,stand
141,182.0,144.0,268.0,526.0,104.0,195.0,stand
142,180.0,122.0,123.0,343.0,105.0,183.0,stand
143,179.0,109.0,111.0,344.0,106.0,177.0,stand
144,177.0,97.0,128.0,407.0,108.0,177.0,stand
145,170.0,84.0,144.0,451.0,109.0,183.0,stand
