frame,x_head,y_head,x_foot,y_foot,x_ball,y_ball
0,932.0,34.0,899.0,875.0,886.0,876.0
1,933.0,33.0,898.0,886.0,893.0,876.0
2,934.0,33.0,897.0,888.0,901.0,860.0
3,936.0,33.0,900.0,867.0,908.0,805.0
4,938.0,33.0,887.0,901.0,889.0,910.0
5,938.0,33.0,873.0,928.0,924.0,707.0
6,938.0,33.0,875.0,945.0,932.0,678.0
7,936.0,34.0,868.0,946.0,940.0,657.0
8,936.0,41.0,871.0,947.0,946.0,657.0
9,936.0,52.0,873.0,949.0,955.0,657.0
10,938.0,56.0,874.0,954.0,962.0,672.0
11,938.0,61.0,875.0,956.0,971.0,704.0
12,939.0,61.0,875.0,915.0,982.0,745.0
13,940.0,63.0,874.0,919.0,972.0,732.0
14,944.0,61.0,879.0,947.0,981.0,683.0
15,949.0,61.0,881.0,955.0,980.0,641.0
16,951.0,60.0,884.0,958.0,977.0,612.0
17,955.0,69.0,886.0,963.0,,
18,955.0,73.0,892.0,963.0,972.0,588.0
19,955.0,71.0,897.0,961.0,,
20,954.0,79.0,896.0,960.0,,
21,954.0,90.0,903.0,957.0,966.0,633.0
22,951.0,97.0,937.0,831.0,965.0,676.0
23,950.0,96.0,959.0,808.0,962.0,750.0
24,949.0,93.0,952.0,776.0,966.0,821.0
25,946.0,90.0,954.0,741.0,967.0,697.0
26,947.0,75.0,948.0,753.0,981.0,654.0
27,947.0,70.0,947.0,931.0,983.0,629.0
28,947.0,71.0,916.0,981.0,916.0,948.0
29,947.0,81.0,908.0,995.0,997.0,609.0
30,947.0,104.0,904.0,1002.0,1003.0,617.0
31,948.0,113.0,897.0,1006.0,,
32,950.0,131.0,900.0,1008.0,,
33,950.0,134.0,902.0,1009.0,,
34,958.0,137.0,913.0,1006.0,1029.0,770.0
35,972.0,138.0,911.0,1001.0,1035.0,813.0
36,981.0,135.0,910.0,1009.0,1034.0,772.0
37,989.0,135.0,912.0,1012.0,1033.0,730.0
38,987.0,136.0,911.0,1025.0,1038.0,704.0
39,991.0,136.0,911.0,1031.0,1041.0,690.0
40,992.0,141.0,917.0,1038.0,1043.0,688.0
41,994.0,146.0,927.0,1042.0,1047.0,697.0
42,1002.0,163.0,976.0,1037.0,1052.0,723.0
43,1011.0,175.0,960.0,1016.0,,
44,1026.0,184.0,1042.0,874.0,1064.0,800.0
45,1033.0,198.0,1000.0,861.0,,
46,1034.0,215.0,940.0,860.0,,
47,1035.0,220.0,890.0,791.0,1068.0,638.0
48,1030.0,219.0,962.0,855.0,1066.0,592.0
49,1023.0,232.0,934.0,1014.0,1067.0,557.0
50,1027.0,189.0,998.0,1025.0,1068.0,534.0
51,1026.0,191.0,992.0,280.0,1064.0,524.0
52,1017.0,184.0,1093.0,307.0,1064.0,525.0
53,1005.0,170.0,1239.0,442.0,1067.0,540.0
54,997.0,168.0,1172.0,466.0,1069.0,572.0
55,990.0,171.0,1131.0,537.0,1076.0,605.0
56,992.0,183.0,1088.0,806.0,1079.0,656.0
57,985.0,198.0,1062.0,949.0,1087.0,717.0
58,976.0,205.0,1073.0,966.0,1095.0,794.0
59,970.0,204.0,1117.0,900.0,1107.0,875.0
60,962.0,204.0,1102.0,986.0,1105.0,856.0
61,955.0,198.0,1094.0,1001.0,1094.0,806.0
62,951.0,195.0,1063.0,1081.0,,
63,943.0,202.0,948.0,1072.0,1083.0,718.0
64,933.0,220.0,938.0,1110.0,1077.0,691.0
65,936.0,232.0,959.0,1142.0,1071.0,682.0
66,937.0,235.0,915.0,1110.0,1068.0,684.0
67,954.0,230.0,909.0,1154.0,1065.0,697.0
68,967.0,222.0,888.0,1127.0,1060.0,716.0
69,970.0,209.0,820.0,1093.0,,
70,971.0,208.0,785.0,1092.0,1053.0,802.0
71,965.0,208.0,810.0,1100.0,1055.0,864.0
72,961.0,208.0,844.0,1136.0,1055.0,948.0
73,960.0,208.0,822.0,1126.0,1057.0,992.0
74,961.0,198.0,805.0,1116.0,1049.0,901.0
75,962.0,192.0,804.0,1112.0,,
76,965.0,188.0,797.0,1102.0,,
77,968.0,188.0,807.0,1098.0,,
78,973.0,189.0,810.0,1097.0,,
79,970.0,190.0,812.0,1100.0,,
80,967.0,196.0,813.0,1056.0,,
81,960.0,200.0,829.0,1030.0,,
82,926.0,215.0,855.0,940.0,,
83,901.0,191.0,862.0,845.0,,
84,899.0,212.0,859.0,760.0,,
85,878.0,189.0,944.0,566.0,,
86,862.0,182.0,910.0,206.0,,
87,881.0,184.0,900.0,236.0,,
88,888.0,178.0,891.0,254.0,,
89,893.0,177.0,867.0,759.0,,
90,894.0,165.0,958.0,631.0,,
91,890.0,151.0,888.0,864.0,,
92,889.0,140.0,869.0,865.0,,
93,888.0,134.0,866.0,1056.0,,
94,889.0,126.0,853.0,1074.0,,
95,885.0,126.0,843.0,1097.0,,
96,882.0,128.0,842.0,1122.0,,
97,882.0,120.0,845.0,1129.0,,
98,881.0,110.0,845.0,1109.0,,
99,880.0,104.0,827.0,1119.0,,
100,877.0,108.0,803.0,1125.0,,
101,874.0,109.0,771.0,1124.0,,
102,874.0,110.0,738.0,1107.0,717.0,44.0
103,862.0,135.0,702.0,1091.0,709.0,74.0
104,858.0,158.0,651.0,1085.0,702.0,123.0
105,856.0,179.0,602.0,1081.0,696.0,199.0
106,853.0,197.0,601.0,1079.0,693.0,284.0
107,855.0,213.0,603.0,1080.0,687.0,383.0
